text	class
My only problem is I thought the actor playing the villain was a low rent Michael Ironside.  	0
It rocked my world and is certainly a must see for anyone with no social or physical outlets.  	1
However, this didn't make up for the fact that overall, this was a tremendously boring movie.  	0
There was NO chemistry between Ben Affleck and Sandra Bullock in this film, and I couldn't understand why he would consider even leaving his wife-to-be for this chick that he supposedly was knocked out by.  	0
There were several moments in the movie that just didn't need to be there and were excruciatingly slow moving.  	0
This was a poor remake of "My Best Friends Wedding".  	0
All in all, a great disappointment.  	0
I cannot believe that the actors agreed to do this "film".  	0
I could not stand to even watch it for very long for fear of losing I.Q.  	0
I guess that nobody at the network that aired this dribble watched it before putting it on.  	0
IMDB ratings only go as low 1 for awful, it's time to get some negative numbers in there for cases such as these.  	0
I saw "Mirrormask" last night and it was an unsatisfactory experience.  	0
In a word, it is embarrassing.  	0
Exceptionally bad!  	0
