10,"1,26418790706713E+017",2011-10-18 22:06:03,text,class,apple
53,"1,26394680903614E+017",2011-10-18 20:30:14,"@paulens It surprises me that @Apple throws up an error alert about authorizing, and there's no &quot;Authorize this computer&quot; button.",negative,apple
55,"1,26393717421646E+017",2011-10-18 20:26:25,@Lisa_Marie1987 shhhh. the evil sith lords @apple may hear you ha!,negative,apple
57,"1,26393204550537E+017",2011-10-18 20:24:22,FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.,negative,apple
58,"1,26392402083709E+017",2011-10-18 20:21:11,"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.",negative,apple
60,"1,26391082308207E+017",2011-10-18 20:15:56,OMG @apple WHY THE FUCK DID YOU DELETE ALL MY MUSIC YOU DICKS,negative,apple
62,"1,26389218284016E+017",2011-10-18 20:08:32,@ryanbaldwin @apple So in iTunes I go Store -&gt; Authoriseâ€¦ why doesn't it just auto-authorise it when I sign into iTunes? Grrrr...,negative,apple
63,"1,26388194194362E+017",2011-10-18 20:04:28,"Seriously - I have absolutely no offing clue what @Apple means by &quot;authorization&quot;, nor how to do it.",negative,apple
64,"1,26388023725269E+017",2011-10-18 20:03:47,"Boy, could @apple make it any harder to put my purchased music from the cloud on to my new macbook pro? &quot;You must authorize this computerâ€¦&quot;",negative,apple
69,"1,26385036441297E+017",2011-10-18 19:51:55,"shit, shit, shit. IOS5 update ate all my apps, data and media just like @apple said it would. This is going to take some time to rebuild.",negative,apple
73,"1,26382959711359E+017",2011-10-18 19:43:40,. @apple &amp; @AT&amp;T u cannot tell me there isn't at least 1 64GB iPhone 4S in LA or Vegas!! Give me a fucking break!!!!,negative,apple
75,"1,26382051661328E+017",2011-10-18 19:40:03,Love @apple downloads. 4 hours and i-pad now wonky! #ripstevejobs #thenonsensepersists #neednewipadguide #fatfuckingchance,negative,apple
78,"1,26381519513194E+017",2011-10-18 19:37:56,Dear @apple My new Air is now a notbook since your update killed #wifi #bug #destroying #productivity,negative,apple
79,"1,26380588822299E+017",2011-10-18 19:34:15,"I am so done with @Att and @apple 's profitering and lack of customer service, so fucking down with both!!!",negative,apple
80,"1,26380553464316E+017",2011-10-18 19:34:06,It would be great If @Apple would send my new phone. #frustrated,negative,apple
86,"1,26377298650862E+017",2011-10-18 19:21:10,@apple thank you for ruining my 3GS with #iOS5. You've just turned my phone into an utterly useless pile of shit.,negative,apple
88,"1,26375381249966E+017",2011-10-18 19:13:33,@rogerweir no but I have the option of a  replacement iPhone 4s ? Not sure if I want one after having 2 duff iPhones. @O2 @iphone4s @apple,negative,apple
93,"1,26372694118769E+017",2011-10-18 19:02:52,So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. What is this 2001?,negative,apple
94,"1,26372040696541E+017",2011-10-18 19:00:17,"You know @apple It's been almost a week since I paid for iTunes Match, I would really like to use it. Any ETA on a fix?",negative,apple
104,"1,26363154837021E+017",2011-10-18 18:24:58,removing all @apple shit.,negative,apple
107,"1,26361483432038E+017",2011-10-18 18:18:19,So @PhoenixSwinger 's iPhone 4 is giving her a hella hard time w/ the iOS5 update @apple,negative,apple
114,"1,26358781633368E+017",2011-10-18 18:07:35,What??? I that sucks hello @apple RT @PhoneDog_Aaron Interesting note - DROID RAZR's battery isn't removable.,negative,apple
116,"1,26358301393957E+017",2011-10-18 18:05:41,@Apple can't send me an iPhone preordered 1hr after launching but they cans send 5 or 10 to all the jackasses who want to shoot or blend 'em,negative,apple
117,"1,26358272084152E+017",2011-10-18 18:05:34,Gotta say the @Apple itouch iphone shuffle etc.. sound quality is AWFUL.. painfully crap. Its been a downgrade from @Sony sound quality wise,negative,apple
120,"1,26357580741226E+017",2011-10-18 18:02:49,"@bisquiat @Apple the upgrade just slows down my phone so much, it's stuck half the time. uch. thankfully no other damage. sucks for you :(",negative,apple
122,"1,26357227727626E+017",2011-10-18 18:01:25,@Mayati I think @Apple didn't do such a thorough job with the step x steps for upgrade and move to iCloud. Now it's cost me mightily.,negative,apple
126,"1,26354628999778E+017",2011-10-18 17:51:05,Hey @apple now I have iOS5 my iPhone doesn't include songs that are on compilation albums under the artist's name. #whaddupwitdat,negative,apple
132,"1,26351972948394E+017",2011-10-18 17:40:32,@NickTheFNicon He can send but not rcve txts so he has an apt @apple at 4pm.Then he exclaims: And I waited a whole YEAR for this phone!!LMAO,negative,apple
139,"1,26348169826148E+017",2011-10-18 17:25:25,Total chaos at @apple store regent street. Like an Ethiopian feeding station. Can't believe this is same co. that makes all that cool shit.,negative,apple
146,"1,26344426854416E+017",2011-10-18 17:10:33,"@FishMama: If you made a purchase, just wait for the @apple survey! hate going b/c of the bad #custserv",negative,apple
148,"1,26343931117048E+017",2011-10-18 17:08:35,Correction: @ Best Buy kudos to Chris @ Alamo Ranch S.A. TX-fixed issues couldn't resolve after 1/2 day w/ @ATT &amp; @Apple. Hero of my day!,negative,apple
149,"1,26343679785959E+017",2011-10-18 17:07:35,@phxguy88 @Apple @BGR That's why all the ppl who stand in line for hrs to get the &quot;newest&quot; model are suckers...,negative,apple
150,"1,26343214805426E+017",2011-10-18 17:05:44,Would it kill @apple to put a braille type bump on their earbuds so we know which bud is R and L in the dark.,negative,apple
158,"1,26334597431697E+017",2011-10-18 16:31:29,@APPLE Wow @MOTOROLA Just crushed your dreams....,negative,apple
159,"1,2633418858353E+017",2011-10-18 16:29:52,Time to play a game called wait at the @apple store forever because the tourists are taking forever with their genius appointments.,negative,apple
162,"1,26331480233353E+017",2011-10-18 16:19:06,"RT @phxguy88: Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR",negative,apple
164,"1,26331327271285E+017",2011-10-18 16:18:30,"Oh, just fuck you, @apple. Already?? ---&gt;  iPhone 5 on schedule for summer launch? http://t.co/Ofh9PTaG via @BGR",negative,apple
171,"1,26328782700286E+017",2011-10-18 16:08:23,@Apple you need to make it easier for people to know what songs that have downloaded from iTunes:  http://t.co/8iAaraLR,negative,apple
173,"1,26327808803881E+017",2011-10-18 16:04:31,"@apple, No, I won't wait until thursday for an available appointment just so a 'genius' can tell me I'm shit out of luck. #now",negative,apple
176,"1,26325125749543E+017",2011-10-18 15:53:51,WTF?!?! @apple the new iOS 5 doesn't allow you NOT to get push notifications from newstand? and SIRI just keeps yapping FUCK!,negative,apple
179,"1,26324573384872E+017",2011-10-18 15:51:39,"@Apple, on the #iPad with #iOS5, why has the Messages Icon been included when it can't be used?",negative,apple
180,"1,26324389741474E+017",2011-10-18 15:50:56,@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&amp;T,negative,apple
184,"1,26324077513294E+017",2011-10-18 15:49:41,Interesting... @apple now requires you to have a reservation ?         #apple #iphone #4S    :  http://t.co/zZK4fTii,negative,apple
191,"1,26321169468101E+017",2011-10-18 15:38:08,@apple why is my iPhone battery so crappy #fail,negative,apple
194,"1,26320033369563E+017",2011-10-18 15:33:37,My @Apple @macbook keyboard will not type :(,negative,apple
212,"1,26312535203922E+017",2011-10-18 15:03:49,@lynnwi I wish. @apple isn't known for giving users options besides blue or grayâ€¦..,negative,apple
217,"1,26311879218967E+017",2011-10-18 15:01:13,@Apple has THE WORST customer tech support. EVER.,negative,apple
221,"1,26310645443461E+017",2011-10-18 14:56:19,"Why doesn't @apple iCloud sync Stickies? They've always been around, just nothing every progressed w/ them!! Why apple why?  @gruber",negative,apple
223,"1,2630961639195E+017",2011-10-18 14:52:13,"@apple, your new &quot;Save a Version&quot; function in Pages is absolutely the most awful, interrupting, counter-intuitive piece of crap in the world",negative,apple
225,"1,2630800577921E+017",2011-10-18 14:45:49,"Dear @Apple, I should not have to hack my 10.7 Lion Mac to make it useable:   http://t.co/6cQsL4qw",negative,apple
230,"1,26307071984546E+017",2011-10-18 14:42:07,I hate my @apple computer.  Thats 3500 dollars down the drain.,negative,apple
231,"1,26304942049853E+017",2011-10-18 14:33:39,Anyone else angry because @apple pulled everyone's access to the Siri App just so they could make it exclusive to the new iPhone 4S? RT THIS,negative,apple
238,"1,26302386644976E+017",2011-10-18 14:23:30,@apple my iPhone is charging very slowly!!!!!,negative,apple
244,"1,26299379832336E+017",2011-10-18 14:11:33,"@Apple #iOS5 gm on ipad1 is very slow wash better on beta7/8 solve this problem, or give me the ipad2",negative,apple
250,"1,26297326565331E+017",2011-10-18 14:03:23,"@apple Wish I could pick month, day, and YEAR when setting a new calendar item on my iPhone. Why hasn't the new iOS fixed this yet?!",negative,apple
251,"1,26297241190281E+017",2011-10-18 14:03:03,"9 apps in the AppStore New section aren't new just updated. There should be a rule against that. Also, why is @apple's POS apps always first",negative,apple
252,"1,26295434862936E+017",2011-10-18 13:55:52,sorry to say @apple But Your new Iphone IOS5 update Sucks a Fatty!!!!!!!!!!!!!!!!!! #SmokingPoleSucking,negative,apple
258,"1,26292335540699E+017",2011-10-18 13:43:33,"@Apple iTunes is the worst program ever. For such a great phone, you make some awful software.",negative,apple
268,"1,26286814578348E+017",2011-10-18 13:21:37,One would think the voice recognition on the @apple tech support line would work a little better.,negative,apple
272,"1,26283602571964E+017",2011-10-18 13:08:51,"@apple $319 to repair my iPad 2, Apple you've lost me and my $700 a year, Android here I come!",negative,apple
276,"1,26282994821509E+017",2011-10-18 13:06:26,So I updated my #iphone last night. It took over six hours and the majority of my apps didn't transfer. Thanks @apple,negative,apple
278,"1,26281019476292E+017",2011-10-18 12:58:35,"@azee1v1 @apple @umber Proper consolidation, proper syncing, stop losing my PURCHASED items, checkboxes that do what you think they will do.",negative,apple
279,"1,2628055598053E+017",2011-10-18 12:56:45,@AsimRang @apple @umber the desktop app is wack though,negative,apple
281,"1,26279811151831E+017",2011-10-18 12:53:47,I made a reservation and yet I still have to wait in line. Humpt! Oh @apple (@ Apple Store w/ 2 others) http://t.co/JZmVBdNm,negative,apple
287,"1,26270073420792E+017",2011-10-18 12:15:06,"@Apple, In #iOS5, why I can't put the Newstand app in a folder? Very annoying. #iPhone",negative,apple
291,"1,2626431356346E+017",2011-10-18 11:52:12,the new @apple ios deleted at least half my apps. not cool.,negative,apple
296,"1,26258214412091E+017",2011-10-18 11:27:58,Frustrated that I bought a new macbook pro from @apple only to find it doesnt ship with media! #expensivepaperweight,negative,apple
297,"1,262576452828E+017",2011-10-18 11:25:43,Dear @apple. I had to turn off all those awesome featured you just enabled. Data plan can't handle it. 200 mb of data just because #,negative,apple
301,"1,26251052667376E+017",2011-10-18 10:59:31,#DontBeMadAtMeBecause #Android is by far better than @Apple,negative,apple
302,"1,26247557339947E+017",2011-10-18 10:45:37,@apple is there a problem with iOS 5 that is preventing audio apps and audio functions from operating properly? I keep losing sound.,negative,apple
303,"1,26243680129524E+017",2011-10-18 10:30:14,@apple #apple One thing I hater about this #mouse the #buttery finish so fast am not #happy now #macworld @macworld http://t.co/5Uh4a4Vt,negative,apple
305,"1,26240605419487E+017",2011-10-18 10:18:00,Hey @Apple: stop sending your automatically-depreciate-all-iPhones-older-than-the-4s signal. My #iPhone4 is dying rapidly processor-wise.,negative,apple
306,"1,26239832895795E+017",2011-10-18 10:14:56,"Upgrded MacbookAir to 10.7.2, iPhone to iOS5. Now iPhoto doesn't open + iPhone apps r missing. Very buggy upgrades. @apple #applefail #fail",negative,apple
307,"1,26238223537152E+017",2011-10-18 10:08:32,Only thing bad about the new @canon camera is that it has two compact flash cards... not one of SD. SD goes in my @apple computer. Damn you!,negative,apple
314,"1,26221894126023E+017",2011-10-18 09:03:39,Wtf @apple 64 pages for the new terms &amp; conditions when u update ur apps from the iTunes store. Do u really think we'll read em? Really???,negative,apple
330,"1,26189036644729E+017",2011-10-18 06:53:05,fuck u @apple,negative,apple
331,"1,2618894697472E+017",2011-10-18 06:52:44,oh and prolly ganna be late to work bc @apple has screwed me and my phone has my only alarm on it,negative,apple
332,"1,26188717902803E+017",2011-10-18 06:51:49,why the fuck dose my phone decide its just ganna freeze every time i try to update it so fucking sick of @apple,negative,apple
333,"1,26188686453907E+017",2011-10-18 06:51:41,. if u need me just text me o wait u i wont get it cuz @apple fucks me every time #fuckingpissed,negative,apple
339,"1,26182880123695E+017",2011-10-18 06:28:37,"iMessage doesn't show the time a message was sent, annoying @apple",negative,apple
346,"1,26167083334644E+017",2011-10-18 05:25:51,Like @apple da fuck is this shit?  http://t.co/nb4DHlSg,negative,apple
351,"1,26163315499082E+017",2011-10-18 05:10:53,RT @CircusTK: I'm wit chu!! â€œ@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!â€,negative,apple
352,"1,26163250172801E+017",2011-10-18 05:10:37,Damn it @Apple!! Whatchu done to my phone??,negative,apple
353,"1,26158846375903E+017",2011-10-18 04:53:07,Samsung seeks iPhone 4S ban in Japan and Australia Patent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk,negative,apple
355,"1,26156590662423E+017",2011-10-18 04:44:10,iWish @apple would add an expandable memory slot.... I'm sorta in need of one. http://t.co/LL4r5mU4,negative,apple
356,"1,26155291288023E+017",2011-10-18 04:38:59,"@apple, why is it every time there is iOS software update my iPad goes dead and I need to totally restore? #fail",negative,apple
357,"1,26153311521997E+017",2011-10-18 04:31:07,@apple #iOS.5 has been nothing but a pain in the ass no room for my music.. Or photos.. Or apps! Can I undo this garbage??,negative,apple
358,"1,26150581558592E+017",2011-10-18 04:20:17,"@apple the reservation system not working, shows no products avail let alone iphone 4s I had the site open in 3 browsers at 9 PM and nothing",negative,apple
376,"1,26148955217203E+017",2011-10-18 04:13:49,RT @RedDeerSteph: @Joelplane @apple I hear you! I've had trouble with my 3 &amp; now 4. I've even turned down brightness. #andshuttingdownrunningprograms #nohelp,negative,apple
382,"1,26148565302129E+017",2011-10-18 04:12:16,@Joelplane @apple I hear you! I've had trouble with my 3 &amp; now 4. I've even turned down brightness. #andshuttingdownrunningprograms #nohelp,negative,apple
390,"1,26143926523539E+017",2011-10-18 03:53:50,@albertmal88 remember @apple is evil. #icloud entering the #dropbox market,negative,apple
395,"1,26141380409037E+017",2011-10-18 03:43:43,I know a few others having same issue RT @Joelplane: 9% now on my second full charge of the day. Pissed @Apple,negative,apple
397,"1,26141077131497E+017",2011-10-18 03:42:31,9% now on my second full charge of the day. Pissed @Apple,negative,apple
400,"1,26140389873828E+017",2011-10-18 03:39:47,My #iPhone4S battery is dying like crazy @Apple!!,negative,apple
404,"1,26132919117939E+017",2011-10-18 03:10:06,RT @ShayDiddy: @CircusTK @ups @apple both of them are bs!!! How do u tell me go between a certain time ONLY and the muh fuh is closed!,negative,apple
405,"1,26131535211536E+017",2011-10-18 03:04:36,I'm wit chu!! â€œ@ShayDiddy: Officially boycotting @ups!!! Calling @apple to curse them out next for using them wasting my time!â€,negative,apple
410,"1,26129938247062E+017",2011-10-18 02:58:15,"ugh! @apple, youâ€™re reservation page for the iPhone is NOT working.",negative,apple
411,"1,26129582326817E+017",2011-10-18 02:56:50,iTunes is @apple's worst product. Worse than the #Newton or the hockey puck mouse. It's utterly painful to use.,negative,apple
412,"1,26128599030956E+017",2011-10-18 02:52:56,"DeÃ¡r iCloud I HATE U , AND I HOPE YOU DIE , YOU ARE THE WORST FUCKING INVENTION IN THE WORLD , FUCK YOUUUUUUUUUUUU #iCloud @apple @stevejobs",negative,apple
414,"1,26127465155404E+017",2011-10-18 02:48:25,i update to ios 5 and lose everything on my phone and it wont let me sign into my itunes account... thanks @Apple,negative,apple
415,"1,26126605344047E+017",2011-10-18 02:45:00,Suddenly lost all address book on @3GS iPhone. And someone was using my @Apple ID. It all fucked up.,negative,apple
421,"1,26121175926571E+017",2011-10-18 02:23:26,oh.. my iphone is overcapacity huh?! -____-  @Apple won't let me be great!!!,negative,apple
423,"1,26118222746497E+017",2011-10-18 02:11:42,Issues with updating iTunes on my windows pc - they really are not compatible.... Sent more time talking to @Apple care than using it!!,negative,apple
435,"1,26106964420858E+017",2011-10-18 01:26:57,@apple u guys are gay,negative,apple
445,"1,26099775417364E+017",2011-10-18 00:58:23,"Restored my iPhone. STILL NO TEXTS. DEAR @APPLE Y NO LOVE, Y RESTRICTIONS ON MY SMS?  Y NO TEXTS.... #iOS5 #iOS5atemydingo",negative,apple
449,"1,26096173198082E+017",2011-10-18 00:44:05,none of my apps work after the new ios from @apple. what do i do?!?,negative,apple
453,"1,26094194312876E+017",2011-10-18 00:36:13,"Seemingly endless loop of calls to @apple, @ups, @verizonwireless to investigate my missing #iphone4s. #crankywithnophone",negative,apple
461,"1,26089287660864E+017",2011-10-18 00:16:43,@Wisconsin_Mommy @apple that's terrible!  I hope you get an apology!,negative,apple
462,"1,26088404084589E+017",2011-10-18 00:13:12,@zombiebomber have been on the phone with @verizonwireless and @apple pretty much ever since then. Really annoyed.,negative,apple
465,"1,26085893353251E+017",2011-10-18 00:03:14,"@chascouponmom @apple I get they are busy w/ the new phone, but I just wanted to buy a stylus. they made me wait forever outside &amp; never",negative,apple
467,"1,26084068298334E+017",2011-10-17 23:55:59,"@apple @iphone Please deliver my daughter's i4s, she is driving me nuts #iphone",negative,apple
469,"1,26082198720889E+017",2011-10-17 23:48:33,"I'm givin' this stupid @apple reserve system 2daysâ€¦ If I cant get reservation, I'll never buy any Apple productsâ€¦ (yup I hate contracts)",negative,apple
470,"1,26082123743502E+017",2011-10-17 23:48:15,"@sprint @bestbuy still no word on my iPhone4s preorder.  Best Buy blames Sprint, Sprint blames @apple, I just want an honest answer.  #help",negative,apple
472,"1,26079672386724E+017",2011-10-17 23:38:31,"Hey @apple, the SMS full message is complete shit. Yes, I'm annoyed.",negative,apple
479,"1,26075115686466E+017",2011-10-17 23:20:24,Have never had such poor customer service at @Apple before! What happened? (@ Apple Store w/ 2 others) http://t.co/GKlXMUi6,negative,apple
480,"1,2607378832348E+017",2011-10-17 23:15:08,After the new @apple iPhone update my apps are all a mess... Can't event tweet god... My draft is full of messages aghhhhhhhh,negative,apple
481,"1,2607352050457E+017",2011-10-17 23:14:04,"@Apple your service experience is really fucking slipping (except for cute, eyelash batting girlies). (@ Apple Store) http://t.co/dOHDEnMg",negative,apple
483,"1,26072901144281E+017",2011-10-17 23:11:36,Had ma Ipas not 24 hours an I jailbroke it...now its SHAGGED itunes won't letme restore it @apple SYM!!!!,negative,apple
487,"1,26070647125328E+017",2011-10-17 23:02:39,Ugh there are so many people here at the apple store.  @apple can you be more efficient? Please.,negative,apple
488,"1,26069614181487E+017",2011-10-17 22:58:32,@hailfire101 @Irvysan They are... then @apple happened and snatched Siri so they could be douchebags and say 'it's ours!',negative,apple
490,"1,26068917012668E+017",2011-10-17 22:55:46,What was @apple thinking making #Siri totally dependent on a network connection? Siri + @ATT = utter frustration.,negative,apple
499,"1,26063215842038E+017",2011-10-17 22:33:07,Wow the Genius Bar Reservation Line @Apple is ridic right now - ___- I am not amused. #ugh,negative,apple
502,"1,26060639268508E+017",2011-10-17 22:22:53,@apple iPhone 4S robo-brain Siri doesnâ€™t play well outside the U.S. http://t.co/LYppovGb,negative,apple
514,"1,26054048972538E+017",2011-10-17 21:56:41,Where is my iPhone!?!?!?! @apple,negative,apple
515,"1,26053722966069E+017",2011-10-17 21:55:24,@apple battery life suck on iOS 5,negative,apple
520,"1,26050114518262E+017",2011-10-17 21:41:03,An apple update has seemed to render my work machine incapable of opening HDV video. Thanks @Apple. Zero useful productivity today.,negative,apple
524,"1,26044756320076E+017",2011-10-17 21:19:46,@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?,negative,apple
525,"1,2604442596411E+017",2011-10-17 21:18:27,Hey @apple why can't I share a reminder list from my iPhone? Also why can't I login to the iCloud webpage to modify sharing from my phone?,negative,apple
531,"1,26042137740575E+017",2011-10-17 21:09:22,Seriously PISSED at @apple just got a notification that our order for my iPhone 4S has been cancelled and won't ship. Wtf!?,negative,apple
532,"1,26042022900548E+017",2011-10-17 21:08:54,@apple HEY OS 5 Really sux!!! Ur &quot;Tech Support&quot; sux!!  Thanks for all you do!!!,negative,apple
542,"1,2603783130187E+017",2011-10-17 20:52:15,Apparently fuzzball crashes on #iOS5. Congratulations @apple on another incompatible upgrade,negative,apple
543,"1,26036793970786E+017",2011-10-17 20:48:07,could @apple lion please integrate vertical spaces in mission control. this horizontal business is making me nauseous,negative,apple
544,"1,26034507475337E+017",2011-10-17 20:39:02,Can someone plz explain to me whhyy @apple is only distributing 2-3 phones per day to the sprint stores. I'm really ... http://t.co/uf9taK8f,negative,apple
547,"1,26033747991736E+017",2011-10-17 20:36:01,@apple really disappointed with all the glitching with ios5 #whatthehell,negative,apple
548,"1,26031969166434E+017",2011-10-17 20:28:57,"GAH. @apple iOS 5 opens text messages painfully slow, on top of 3 restore attempts 2 succeed. Early adopterness gets better of me.",negative,apple
550,"1,26030936084189E+017",2011-10-17 20:24:51,Dear @apple: Why did all my PDFs and ePub files disappear from ibooks in my iPhone post ios5 upgrade? This hurts. #3GS #needsomethingtoread,negative,apple
552,"1,26029733325582E+017",2011-10-17 20:20:04,â€œ@CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.â€ &lt;&lt; check Settings: 8 times more App usage in iOS 5,negative,apple
561,"1,26021108641182E+017",2011-10-17 19:45:48,As a huge podcast fan - I really feel like @Apple dropped the ball on this one. http://t.co/wvzPrbCI via @Carrypad,negative,apple
565,"1,26018120983904E+017",2011-10-17 19:33:56,I don't really like Siri's voice. Perhaps @apple can get Star Wars voices just like @garmin http://t.co/pSUJg9pN,negative,apple
568,"1,26016585348559E+017",2011-10-17 19:27:49,"â€œ@carlton858: I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.â€ in NZ?",negative,apple
572,"1,26014999444468E+017",2011-10-17 19:21:31,"I really hate dealing with the brain dead people at the @apple store. For such good products, customer service sucks.",negative,apple
574,"1,26014540721828E+017",2011-10-17 19:19:42,"You can make photo albums in the Photos app with iOS 5, but can't password protect them? Um... @apple, fix that. Quickly.",negative,apple
580,"1,26012822936232E+017",2011-10-17 19:12:52,Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc @applecanada @apple @forstall,negative,apple
582,"1,26012404332114E+017",2011-10-17 19:11:13,Truth. RT@hanrahan52 Dear @apple you SUCK! Thanks that is all,negative,apple
583,"1,26012089415381E+017",2011-10-17 19:09:57,Dear @apple you SUCK! Thanks that is all,negative,apple
590,"1,26008913400304E+017",2011-10-17 18:57:20,RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.,negative,apple
595,"1,26006966312108E+017",2011-10-17 18:49:36,Updating to IOS5 with my regular iphone4 just made it slower and messed up.. @apple give me a free 4S and we can call it even thanks,negative,apple
599,"1,26006116168643E+017",2011-10-17 18:46:13,@apple If you want to know what customers think dont send updates with the &quot;noreply&quot; return address. Who invented that anyway. #useless,negative,apple
600,"1,26006088725303E+017",2011-10-17 18:46:07,Attempting to download @Apple #Lion.... slow process...,negative,apple
602,"1,26004661248471E+017",2011-10-17 18:40:26,my #siri is not working! its driving me crazy! it says it cant connect to the network. It doesnt make sense because I can use safari @apple,negative,apple
604,"1,26003967552524E+017",2011-10-17 18:37:41,"Every time I try the voice control on my iPod Touch to send an iMessage, it starts playing &quot;Who Knew&quot; by Pink.  Still not Flawless @Apple",negative,apple
609,"1,26001775626031E+017",2011-10-17 18:28:58,should be studying/ doing work but no I'm hold with @apple HURRY THE FUCK UP! #nopatience,negative,apple
611,"1,26001635162993E+017",2011-10-17 18:28:25,Ok Hindi keyboard in #iOS5 is something to cheer about.  But @apple  what about  support for 20+ missing Indian languages!? #FAIL,negative,apple
616,"1,25999655011099E+017",2011-10-17 18:20:33,"RT @ScottDugas: Warning: if iphone apps spontaneously loose data, it might not be the app's fault - http://t.co/1SEsvWwm #ios5downgrade @apple @marcoarment",negative,apple
622,"1,25996379913986E+017",2011-10-17 18:07:32,@betweensundays Ah! Yeah...should be an option...hopefully @apple figures that out. Thx,negative,apple
624,"1,25995264325599E+017",2011-10-17 18:03:06,"&quot;Waiting for items to copy&quot; in Itunes after everything DID copy goes on, and on, and on.  Come on @Apple, what the hell?",negative,apple
627,"1,25994965183635E+017",2011-10-17 18:01:55,@Apple unhappy again with service/product quality. Won't buy @Apple again.,negative,apple
628,"1,25994596336534E+017",2011-10-17 18:00:27,Lies @apple. the battery on this new iPhone4S is definitely not any better.,negative,apple
646,"1,25989051101741E+017",2011-10-17 17:38:25,"â€œ@philipgrey: dear @apple, why you gotta go change the way &lt;input type=&quot;number&quot;&gt; is handled out of the blue?â€",negative,apple
650,"1,25988395787882E+017",2011-10-17 17:35:48,Waiting in a ridiculous line at @apple in southpointe with @Consumatory . Where the Fuck are the comment cards?,negative,apple
651,"1,25987979784225E+017",2011-10-17 17:34:09,"Been on hold with @apple customer service for 25 minutes. Wow, lt's like they're #timewarnercable.",negative,apple
652,"1,259874396921E+017",2011-10-17 17:32:01,anyone else stuck in duped calendar/mail/battery sucking @apple hell? #iCloud and #OSX Lion are a disappointment,negative,apple
656,"1,25982320917365E+017",2011-10-17 17:11:40,For being the inventor of the computer mouse â€” Why is it that @Apple has never made one that is not a complete piece of fucking shit?!!?,negative,apple
660,"1,25980659415138E+017",2011-10-17 17:05:04,"@Apple you're killing me. Excited about iOS5 no longer- tragic battery drain, genius bar wants to replace the battery. Really?",negative,apple
666,"1,25978454146552E+017",2011-10-17 16:56:18,1st impressions  of #iOS5- Disappointed w upgrade restore. Lot of apps &amp; folders missing @apple do  how much time went in2 orging it? #fail,negative,apple
668,"1,25976113657823E+017",2011-10-17 16:47:00,@PrJusto Don't question the @Apple they will remember your dissent!,negative,apple
671,"1,25974886006006E+017",2011-10-17 16:42:07,@apple: Multiple times siri is &quot;having trouble connecting to the network.&quot;  Siri needs servers (and some exercise!),negative,apple
